City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,Goderich,43.7501,-81.7165,23.0,80,86,8.05,CA,2021-01-09 03:20:01
276,Loandjili,-4.7561,11.8578,76.23,89,12,4.45,CG,2021-01-09 03:20:01
277,Kapoeta,4.7717,33.5903,76.21,30,0,4.09,SS,2021-01-09 03:20:04
278,Carnarvon,-24.8667,113.6333,89.6,62,48,12.66,AU,2021-01-09 03:20:04
279,Vasterhaninge,59.1167,18.1,35.01,74,97,9.82,SE,2021-01-09 03:20:05
280,Alofi,-19.0595,-169.9187,86.0,70,29,14.97,NU,2021-01-09 03:20:05
281,Ponta Do Sol,32.6667,-17.1,48.99,77,40,3.0,PT,2021-01-09 03:20:05
282,Bilibino,68.0546,166.4372,-22.31,84,17,1.88,RU,2021-01-09 03:20:05
283,Brae,60.3964,-1.353,41.0,70,75,24.16,GB,2021-01-09 03:20:05
284,Pontianak,-0.0333,109.3333,84.2,74,40,3.44,ID,2021-01-09 03:20:06
285,Chiredzi,-21.05,31.6667,71.22,90,56,3.0,ZW,2021-01-09 03:20:06
286,Esil,51.9556,66.4042,-1.52,86,100,12.91,KZ,2021-01-09 03:20:06
287,Caucaia,-3.7361,-38.6531,81.0,78,0,12.66,BR,2021-01-09 03:20:07
288,Iquique,-20.2208,-70.1431,69.8,68,0,9.22,CL,2021-01-09 03:20:07
289,Luis Correia,-2.8792,-41.6669,79.81,80,73,13.06,BR,2021-01-09 03:20:07
290,Oranjestad,12.524,-70.027,78.8,89,20,11.5,AW,2021-01-09 03:20:07
